mol,Name,MW,pubnum,pub1,id1,pubname1,value1,error1,dimension1,process,te53p,pH,status1,purity1,conv,final,dimension3,error,comments                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,,,
n1ccncc1C,2-methylpyrazine,94.12,,"[Rizzo, 2006 #380]",,Table S1,-5.51,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
n1ccccc1C,2-methylpyridine,93.13,,"[Rizzo, 2006 #380]",,Table S1,-4.63,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O1CCCC1C,2-methyltetrahydrofuran,86.13,,"[Rizzo, 2006 #380]",,Table S1,-3.3,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
s1cccc1C,2-methylthiophene,98.17,,"[Rizzo, 2006 #380]",,Table S1,-1.38,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Oc1cc2c(cc1)cccc2,2-naphthol,144.17,,"[Rizzo, 2006 #380]",,Table S1,-8.11,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Nc1cc2c(cc1)cccc2,2-naphthylamine,143.19,,"[Rizzo, 2006 #380]",,Table S1,-7.47,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Nc1ccccc1N(=O)=O,2-nitroaniline,138.13,,"[Rizzo, 2006 #380]",,Table S1,-7.37,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
N(=O)(=O)c1c(cccc1)O,2-nitrophenol,139.11,,"[Rizzo, 2006 #380]",,Table S1,-4.58,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
N(=O)(=O)C(C)C,2-nitropropane,89.09,,"[Rizzo, 2006 #380]",,Table S1,-3.13,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
CC(=O)CCCCCCC,2-nonanone,142.243,,"[Rizzo, 2006 #380]",,Table S1,-2.49,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
CC(=O)CCCCCC,2-octanone,128.216,,"[Rizzo, 2006 #380]",,Table S1,-2.88,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
OC(CCC)C,2-pentanol,88.15,,"[Rizzo, 2006 #380]",,Table S1,-4.39,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O=C(CCC)C,2-pentanone,86.13,,"[Rizzo, 2006 #380]",,Table S1,-3.52,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
c1(ccccc1)CCO,2-phenyl-1-ethanol ,122.17,,"[Rizzo, 2006 #380]",,Table S1,-6.79,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
c1ccccc1C(C)=C,2-phenyl-1-propene,118.18,,"[Rizzo, 2006 #380]",,Table S1,-1.24,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
OC(C)C,2-propanol,60.1,,"[Rizzo, 2006 #380]",,Table S1,-4.74,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
OCC=C,2-propen-1-ol,58.08,,"[Rizzo, 2006 #380]",,Table S1,-5.03,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O(CCC)CCO,2-propoxyethanol,104.15,,"[Rizzo, 2006 #380]",,Table S1,-6.4,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O(C(C)C)C(=O)C,2-propyl acetate,102.13,,"[Rizzo, 2006 #380]",,Table S1,-2.64,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
C(=O)OC(C)C,2-propyl forMate,88.11,,"[Rizzo, 2006 #380]",,Table S1,-2.02,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
CC(=O)CCCCCCCCC,2-undecanone,170.3,,"[Rizzo, 2006 #380]",,Table S1,-2.15,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O=C(C(C)(C)C)C,"3,3-dimethyl-2-butanone ",100.16,,"[Rizzo, 2006 #380]",,Table S1,-3.11,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
C(CC)(CC)(C)C,"3,3-dimethylpentane",100.2,,"[Rizzo, 2006 #380]",,Table S1,2.56,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Cc1ccc(cc1C)O,"3,4-dimethylphenol",122.17,,"[Rizzo, 2006 #380]",,Table S1,-6.5,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
n1cc(C)c(cc1)C,"3,4-dimethylpyridine",107.16,,"[Rizzo, 2006 #380]",,Table S1,-5.22,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Oc1cc(cc(c1)C)C,"3,5-dimethylphenol",122.17,,"[Rizzo, 2006 #380]",,Table S1,-6.27,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Cc1cc(cnc1)C,"3,5-dimethylpyridine",107.16,,"[Rizzo, 2006 #380]",,Table S1,-4.84,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O=C(C)c1cccnc1,3-acetylpyridine,121.14,,"[Rizzo, 2006 #380]",,Table S1,-8.26,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
ClCC=C,3-chloro-1-propene,76.53,,"[Rizzo, 2006 #380]",,Table S1,-0.57,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Clc1cc(N)ccc1,3-chloroaniline,127.57,,"[Rizzo, 2006 #380]",,Table S1,-5.82,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Clc1cc(ccc1)O,3-chlorophenol,128.56,,"[Rizzo, 2006 #380]",,Table S1,-6.62,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Clc1cccnc1,3-Chloropyridine,113.55,,"[Rizzo, 2006 #380]",,Table S1,-4.01,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Oc1cc(ccc1)CC,3-ethylphenol,122.17,,"[Rizzo, 2006 #380]",,Table S1,-6.25,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
n1cc(ccc1)CC,3-ethylpyridine,107.16,,"[Rizzo, 2006 #380]",,Table S1,-4.59,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
OC(CCC)CC,3-hexanol,102.18,,"[Rizzo, 2006 #380]",,Table S1,-4.06,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Oc1cc(ccc1)C=O,3-hydroxybenzaldehyde,122.12,,"[Rizzo, 2006 #380]",,Table S1,-9.5,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Oc1cc(ccc1)C#N,3-Hydroxybenzonitrile ,119.12,,"[Rizzo, 2006 #380]",,Table S1,-9.65,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O(C)c1cc(N)ccc1,3-methoxyaniline,123.16,,"[Rizzo, 2006 #380]",,Table S1,-7.29,1.93,kcal/mol,FEOH,25,,measured,,,,,,,,,,
O(C)c1cc(O)ccc1,3-methoxyphenol,124.14,,"[Rizzo, 2006 #380]",,Table S1,-7.66,1.93,kcal/mol,FEOH,25,,measured,,,,,,,,,,
OCCC(C)C,3-methyl-1-butanol,88.15,,"[Rizzo, 2006 #380]",,Table S1,-4.42,1.93,kcal/mol,FEOH,25,,measured,,,,,,,,,,
C(C=C)(C)C,3-methyl-1-butene,70.14,,"[Rizzo, 2006 #380]",,Table S1,1.83,1.93,kcal/mol,FEOH,25,,measured,,,,,,,,,,
CC(CCOC(=O)C)C,3-methyl-1-butyl acetate,130.19,,"[Rizzo, 2006 #380]",,Table S1,-2.21,1.93,kcal/mol,FEOH,25,,measured,,,,,,,,,,
O(CCC(C)C)C=O,3-methyl-1-butyl forMate,116.16,,"[Rizzo, 2006 #380]",,Table S1,-2.13,1.93,kcal/mol,FEOH,25,,measured,,,,,,,,,,
O=C(C(C)C)C,3-methyl-2-butanone,86.135,,"[Rizzo, 2006 #380]",,Table S1,-3.24,1.93,kcal/mol,FEOH,25,,measured,,,,,,,,,,
OC(=O)CC(C)C,3-methylbutanoic acid,102.13,,"[Rizzo, 2006 #380]",,Table S1,-6.09,1.93,kcal/mol,FEOH,25,,measured,,,,,,,,,,
C(CCCC)(CC)C,3-methylheptane,114.23,,"[Rizzo, 2006 #380]",,Table S1,2.97,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
C(CCC)(CC)C,3-methylhexane,100.2,,"[Rizzo, 2006 #380]",,Table S1,2.71,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
C(CC)(CC)C,3-methylpentane,86.18,,"[Rizzo, 2006 #380]",,Table S1,2.51,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Oc1cc(ccc1)C,3-methylphenol,108.14,,"[Rizzo, 2006 #380]",,Table S1,-5.49,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
n1cc(ccc1)C,3-methylpyridine,93.13,,"[Rizzo, 2006 #380]",,Table S1,-4.77,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O=N(=O)c1cccc(N)c1,3-nitroaniline,138.13,,"[Rizzo, 2006 #380]",,Table S1,-8.84,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
N(=O)(=O)c1cc(ccc1)O,3-nitrophenol,139.11,,"[Rizzo, 2006 #380]",,Table S1,-9.62,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
OC(CC)CC,3-pentanol,88.15,,"[Rizzo, 2006 #380]",,Table S1,-4.35,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O=C(CC)CC,3-pentanone,86.13,,"[Rizzo, 2006 #380]",,Table S1,-3.41,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
OCCCc1ccccc1,3-phenyl-1-propanol,136.19,,"[Rizzo, 2006 #380]",,Table S1,-6.92,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
n1cc(ccc1)C#N,3-pyridinecarbonitrile,104.11,,"[Rizzo, 2006 #380]",,Table S1,-6.75,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O=Cc1cccnc1,3-pyridinecarboxaldehyde,107.11,,"[Rizzo, 2006 #380]",,Table S1,-7.1,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Oc1ccc(cc1)C(C)(C)C,"4-(1,1-dimethylethyl)phenol",150.22,,"[Rizzo, 2006 #380]",,Table S1,-5.91,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O=C(C)c1ccncc1,4-acetylpyridine,121.14,,"[Rizzo, 2006 #380]",,Table S1,-7.62,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Brc1ccc(O)cc1,4-bromophenol,173.01,,"[Rizzo, 2006 #380]",,Table S1,-7.13,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Brc1ccc(cc1)C,4-bromotoluene,171.04,,"[Rizzo, 2006 #380]",,Table S1,-1.39,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Clc1ccc(O)cc1C,4-chloro-3-methylphenol,142.58,,"[Rizzo, 2006 #380]",,Table S1,-6.79,1.93,kcal/mol,FEOH,25,,review,,,,,,,,,,
Clc1ccc(N)cc1,4-chloroaniline,127.57,,"[Rizzo, 2006 #380]",,Table S1,-5.9,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Clc1ccc(O)cc1,4-chlorophenol,128.56,,"[Rizzo, 2006 #380]",,Table S1,-7.03,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
C(C)c1ccc(cc1)C,4-ethyl-1-methylbenzene,120.195,,"[Rizzo, 2006 #380]",,Table S1,-0.95,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Oc1ccc(cc1)CC,4-ethylphenol,122.17,,"[Rizzo, 2006 #380]",,Table S1,-6.13,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
n1ccc(cc1)CC,4-ethylpyridine,107.16,,"[Rizzo, 2006 #380]",,Table S1,-4.73,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Fc1ccc(O)cc1,4-fluorophenol,112.1,,"[Rizzo, 2006 #380]",,Table S1,-6.19,1.93,kcal/mol,FEOH,25,,review,,,,,,,,,,
O=C(CCC)CCC,4-heptanone,114.189,,"[Rizzo, 2006 #380]",,Table S1,-2.92,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Oc1ccc(cc1)C=O,4-hydroxybenzaldehyde,122.12,,"[Rizzo, 2006 #380]",,Table S1,-8.83,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Oc1ccc(cc1)C#N,4-Hydroxybenzonitrile ,119.12,,"[Rizzo, 2006 #380]",,Table S1,-10.17,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O(C)c1ccc(cc1)C(=O)C,4-methoxyacetophenone,150.18,,"[Rizzo, 2006 #380]",,Table S1,-4.4,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
COc1ccc(cc1)N,4-methoxyaniline,123.16,,"[Rizzo, 2006 #380]",,Table S1,-7.48,1.93,kcal/mol,FEOH,25,,review,,,,,,,,,,
OC(CC(C)C)C,4-methyl-2-pentanol ,102.18,,"[Rizzo, 2006 #380]",,Table S1,-3.73,1.93,kcal/mol,FEOH,25,,review,,,,,,,,,,
O=C(CC(C)C)C,4-methyl-2-pentanone,100.162,,"[Rizzo, 2006 #380]",,Table S1,-3.05,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Cc1ccc(cc1)C(=O)C,4-methylacetophenone,134.18,,"[Rizzo, 2006 #380]",,Table S1,-4.7,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Nc1ccc(cc1)C,4-methylaniline,107.16,,"[Rizzo, 2006 #380]",,Table S1,-5.57,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O=Cc1ccc(cc1)C,4-methylbenzaldehyde,120.15,,"[Rizzo, 2006 #380]",,Table S1,-4.27,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
CN1CCOCC1,4-methylmorpholine,101.15,,"[Rizzo, 2006 #380]",,Table S1,-6.32,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Oc1ccc(cc1)C,4-methylphenol,108.14,,"[Rizzo, 2006 #380]",,Table S1,-6.13,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
n1ccc(cc1)C,4-methylpyridine,93.13,,"[Rizzo, 2006 #380]",,Table S1,-4.93,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
c1cc(ccc1N)N(=O)=O,4-nitroaniline,138.13,,"[Rizzo, 2006 #380]",,Table S1,-10.27,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
N(=O)(=O)c1ccc(cc1)O,4-nitrophenol,139.11,,"[Rizzo, 2006 #380]",,Table S1,-10.64,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Oc1ccc(cc1)CCC,4-propylphenol,136.19,,"[Rizzo, 2006 #380]",,Table S1,-5.9,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
n1ccc(cc1)C#N,4-pyridinecarbonitrile,104.11,,"[Rizzo, 2006 #380]",,Table S1,-6.02,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O=Cc1ccncc1,4-pyridinecarboxaldehyde,107.11,,"[Rizzo, 2006 #380]",,Table S1,-7,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O=C(CCCC)CCCC,5-nonanone,142.243,,"[Rizzo, 2006 #380]",,Table S1,-2.64,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
C1c2c(-c3c1cccc3)cccc2,9H-fluorene,166.22,,"[Rizzo, 2006 #380]",,Table S1,-3.35,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
C1Cc2c3c1cccc3ccc2,acenaphthene,154.21,,"[Rizzo, 2006 #380]",,Table S1,-3.15,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O=CC,acetaldehyde,44.05,,"[Rizzo, 2006 #380]",,Table S1,-3.5,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O=C(N)C,acetamide,59.07,,"[Rizzo, 2006 #380]",,Table S1,-9.71,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
OC(=O)C,acetic acid,60.05,,"[Rizzo, 2006 #380]",,Table S1,-6.69,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O=C(C)C,acetone,58.08,,"[Rizzo, 2006 #380]",,Table S1,-3.8,1.93,kcal/mol,FEOH,25,,review,,,,,,,,,,
O=C(C)c1ccccc1,acetophenone,120.15,,"[Rizzo, 2006 #380]",,Table S1,-4.58,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
N,Ammonia,17.03,,"[Rizzo, 2006 #380]",,Table S1,-4.29,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Nc1ccccc1,aniline,93.13,,"[Rizzo, 2006 #380]",,Table S1,-5.49,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O(C)c1ccccc1,anisole,108.14,,"[Rizzo, 2006 #380]",,Table S1,-2.45,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
c12c(cc3c(c1)cccc3)cccc2,Anthracene,178.23,,"[Rizzo, 2006 #380]",,Table S1,-3.95,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,1.93
N1CCC1,azetidine,57.1,,"[Rizzo, 2006 #380]",,Table S1,-5.56,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
c1(ccccc1)C=O,benzaldehyde,106.12,,"[Rizzo, 2006 #380]",,Table S1,-4.02,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O=C(N)c1ccccc1,benzamide,121.14,,"[Rizzo, 2006 #380]",,Table S1,-11,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
c1ccccc1,benzene,78.11,,"[Rizzo, 2006 #380]",,Table S1,-0.86,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Sc1ccccc1,benzenethiol,110.18,,"[Rizzo, 2006 #380]",,Table S1,-2.55,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
N#Cc1ccccc1,benzonitrile,103.12,,"[Rizzo, 2006 #380]",,Table S1,-4.21,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
OCc1ccccc1,benzyl alcohol,108.14,,"[Rizzo, 2006 #380]",,Table S1,-6.62,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
c1ccccc1-c1ccccc1,biphenyl,154.21,,"[Rizzo, 2006 #380]",,Table S1,-2.66,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Brc1ccccc1,bromobenzene,157.01,,"[Rizzo, 2006 #380]",,Table S1,-1.46,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
BrCC,bromoethane,108.97,,"[Rizzo, 2006 #380]",,Table S1,-0.74,1.93,kcal/mol,FEOH,25,,review,,,,,,,,,,
BrC,bromomethane,94.94,,"[Rizzo, 2006 #380]",,Table S1,-0.82,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
BrC(F)(F)F,bromotrifluoromethane,148.91,,"[Rizzo, 2006 #380]",,Table S1,1.79,1.93,kcal/mol,FEOH,25,,review,,,,,,,,,,
O=CCCC,butanal,72.11,,"[Rizzo, 2006 #380]",,Table S1,-3.18,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
CCCC,butane,58.12,,"[Rizzo, 2006 #380]",,Table S1,2.07,1.93,kcal/mol,FEOH,25,,review,,,,,,,,,,
N#CCCC,butanenitrile,73.14,,"[Rizzo, 2006 #380]",,Table S1,-3.64,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
OC(=O)CCC,Butanoic acid,88.11,,"[Rizzo, 2006 #380]",,Table S1,-6.35,1.93,kcal/mol,FEOH,25,,review,,,,,,,,,,
O(C(=O)C)CCCC,butyl acetate,116.16,,"[Rizzo, 2006 #380]",,Table S1,-2.64,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
NCCCC,butylamine,73.14,,"[Rizzo, 2006 #380]",,Table S1,-4.24,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
c1ccccc1CCCC,butylbenzene,134.22,,"[Rizzo, 2006 #380]",,Table S1,-0.4,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Clc1ccccc1,chlorobenzene,112.56,,"[Rizzo, 2006 #380]",,Table S1,-1.12,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
ClC(F)F,chlorodifluoromethane,86.47,,"[Rizzo, 2006 #380]",,Table S1,-0.5,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
ClCC,chloroethane,64.51,,"[Rizzo, 2006 #380]",,Table S1,-0.63,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
ClC=C,chloroethene,62.5,,"[Rizzo, 2006 #380]",,Table S1,-0.59,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
ClCF,chlorofluoromethane,68.484,,"[Rizzo, 2006 #380]",,Table S1,-0.77,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
ClC,chloromethane,50.49,,"[Rizzo, 2006 #380]",,Table S1,-0.55,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
Cl[C@H]1CCCC[C@H]1Cl,"cis-1,2-dimethylcyclohexane",153.05,,"[Rizzo, 2006 #380]",,Table S1,1.58,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
OC1CCCCCC1,cycloheptanol,114.19,,"[Rizzo, 2006 #380]",,Table S1,-5.48,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
C1CCCCC1,cyclohexane,84.16,,"[Rizzo, 2006 #380]",,Table S1,1.23,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
OC1CCCCC1,cyclohexanol,100.16,,"[Rizzo, 2006 #380]",,Table S1,-5.46,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O=C1CCCCC1,cyclohexanone,98.14,,"[Rizzo, 2006 #380]",,Table S1,-4.91,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
C1CCC=CC1,cyclohexene,82.15,,"[Rizzo, 2006 #380]",,Table S1,0.37,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
CC(=O)C1CCCCC1,cyclohexyl methyl ketone,126.2,,"[Rizzo, 2006 #380]",,Table S1,-3.9,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
NC1CCCCC1,cyclohexylamine,99.18,,"[Rizzo, 2006 #380]",,Table S1,-4.59,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
C1CCCC1,cyclopentane,70.14,,"[Rizzo, 2006 #380]",,Table S1,1.2,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
OC1CCCC1,cyclopentanol,86.13,,"[Rizzo, 2006 #380]",,Table S1,-5.49,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O=C1CCCC1,cyclopentanone,84.12,,"[Rizzo, 2006 #380]",,Table S1,-4.7,1.93,kcal/mol,FEOH,25,,review,,,,,,,,,,
C1CC=CC1,cyclopentene,68.12,,"[Rizzo, 2006 #380]",,Table S1,0.56,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
C1CC1,cyclopropane,42.08,,"[Rizzo, 2006 #380]",,Table S1,0.75,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O=C(C)C1CC1,cyclopropyl methyl ketone,84.119,,"[Rizzo, 2006 #380]",,Table S1,-4.61,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
CCCCCCCCCC,decane,142.29,,"[Rizzo, 2006 #380]",,Table S1,3.16,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
BrCBr,dibromomethane,173.83,,"[Rizzo, 2006 #380]",,Table S1,-1.96,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O(CCCC)CCCC,dibutyl ether,130.23,,"[Rizzo, 2006 #380]",,Table S1,-0.83,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
N(CCCC)CCCC,dibutylamine,129.25,,"[Rizzo, 2006 #380]",,Table S1,-3.24,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
ClCCl,dichloromethane,84.93,,"[Rizzo, 2006 #380]",,Table S1,-1.31,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
S(SCC)CC,diethyl disulfide,122.26,,"[Rizzo, 2006 #380]",,Table S1,-1.64,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O(CC)CC,diethyl ether,74.12,,"[Rizzo, 2006 #380]",,Table S1,-1.59,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
S(CC)CC,diethyl sulfide,90.19,,"[Rizzo, 2006 #380]",,Table S1,-1.46,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
N(CC)CC,diethylamine,73.14,,"[Rizzo, 2006 #380]",,Table S1,-4.07,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
ICI,diiodomethane,267.83,,"[Rizzo, 2006 #380]",,Table S1,-2.49,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O(C(C)C)C(C)C,diisopropyl ether,102.18,,"[Rizzo, 2006 #380]",,Table S1,-0.53,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
S(C(C)C)C(C)C,diisopropyl sulfide,118.24,,"[Rizzo, 2006 #380]",,Table S1,-1.21,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
N(C(C)C)C(C)C,diisopropylamine,101.19,,"[Rizzo, 2006 #380]",,Table S1,-3.22,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
CSSC,dimethyl disulfide,94.2,,"[Rizzo, 2006 #380]",,Table S1,-1.83,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
CSC,dimethyl sulfide,62.14,,"[Rizzo, 2006 #380]",,Table S1,-1.61,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
S(=O)(C)C,dimethyl sulfoxide,78.14,,"[Rizzo, 2006 #380]",,Table S1,-10.1,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
CNC,dimethylamine,45.08,,"[Rizzo, 2006 #380]",,Table S1,-4.29,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
S(CCC)CCC,dipropyl sulfide,118.24,,"[Rizzo, 2006 #380]",,Table S1,-1.28,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
N(CCC)CCC,dipropylamine,101.19,,"[Rizzo, 2006 #380]",,Table S1,-3.65,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
CC,ethane,30.07,,"[Rizzo, 2006 #380]",,Table S1,1.83,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
SCC,ethanethiol,62.14,,"[Rizzo, 2006 #380]",,Table S1,-1.14,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
OCC,ethanol,46.07,,"[Rizzo, 2006 #380]",,Table S1,-5,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
C=C,ethene,28.05,,"[Rizzo, 2006 #380]",,Table S1,1.28,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O(C(=O)C)CC,ethyl acetate,88.11,,"[Rizzo, 2006 #380]",,Table S1,-2.94,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
O(C(=O)c1ccccc1)CC,ethyl benzoate,150.18,,"[Rizzo, 2006 #380]",,Table S1,-3.64,1.93,kcal/mol,FEOH,25,,review,,,,,,,,,,
O(C(=O)CCC)CC,ethyl butanoate,116.16,,"[Rizzo, 2006 #380]",,Table S1,-2.49,1.93,kcal/mol,FEOH,25,,cited,,,,,,,,,,
